product name,time,likes,dislikes,pos-comments,neg-comments,flip-buyers,am-buyers,hashtags,cost,category,sub category,brand,discount,stock,url,ratings,viewers,ads,score
"Casual, Party Maroon Clutch - Regular Size",4,7999,3081,1087,1704,18563,10494,5296,763,Fashion,Accessories,ALSU,977,10,https://www.flipkart.com/alsu-casual-party-maroon-clutch/p/itmc765f0278ce0a?pid=CLTG97J3XHAFAXYT&lid=LSTCLTG97J3XHAFAXYTWSZPDS&marketplace=FLIPKART&store=reh%2Fcca%2Fq6i&srno=b_1_10&otracker=browse&fm=organic&iid=6775f952-2f2d-484d-8931-9cff89c69665.CLTG97J3XHAFAXYT.SEARCH&ppt=browse&ppn=browse&ssid=rrblqwqi0a4nwsn41659118633982,5200,41060,4,7.088602773
"MamaEarth Tea Tree Beard Oil for men, with Tea Tree & Salicylic Acid for Itch-Free Beard Hair Oil (30 ml)",2,6346,1795,8432,1105,5669,2129,6053,1855,Fashion,Beauty,mamaearth,111,10,https://www.flipkart.com/mamaearth-tea-tree-beard-oil-men-salicylic-acid-itch-free-hair/p/itmb40973da040a6?pid=HOLG9VP3AUZHYFCF&lid=LSTHOLG9VP3AUZHYFCFPEYDTT&marketplace=FLIPKART&q=beauty+products+for+men&store=g9b&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_5_16_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_5_16_na_na_na&fm=search-autosuggest&iid=en_7ueEiTbXpXb0TQ5JnsKo%2BIPFULrmu01vS%2FDxgTsXWTdP3AB0dbrVyPn0%2BdjeG7X0itaiMBRNk07heRkfBITkQg%3D%3D&ppt=sp&ppn=sp&ssid=ckqoaf839s0000001659118810037&qH=76ec5d4399ab81b4,13346,24517,4,8.093900051
L'Oréal Paris Aura Perfect Milky Foam Facewash For Women|100 ml Face Wash (100 ml),1,209,318,631,317,23602,9692,2802,618,Fashion,Beauty,l'oreal,438,10,https://www.flipkart.com/l-oral-paris-aura-perfect-milky-foam-facewash-women-100-ml-face-wash/p/itmafa5e33c482c9?pid=FCWEEA8XZUGUNV27&lid=LSTFCWEEA8XZUGUNV276IZXTL&marketplace=FLIPKART&q=beauty+products+for+men&store=g9b&srno=s_1_11&otracker=AS_Query_OrganicAutoSuggest_5_16_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_5_16_na_na_na&fm=search-autosuggest&iid=5d4e458f-7b83-4670-920f-befdec1d3dfb.FCWEEA8XZUGUNV27.SEARCH&ppt=sp&ppn=sp&qH=76ec5d4399ab81b4,1625,35569,7,5.692819323
SHEFFO Ultimate Eye Shadow + Brush Set (2 Items in the set),3,4670,528,8402,1071,12191,14606,3194,1429,Fashion,Beauty,sheffo,477,10,https://www.flipkart.com/sheffo-ultimate-eye-shadow-brush-set/p/itm0400abc50144b?pid=CBKFYHZHGDSGQRH7&lid=LSTCBKFYHZHGDSGQRH7EI14CO&marketplace=FLIPKART&q=beauty+products+for+girls&store=search.flipkart.com&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_5_19_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_5_19_na_na_na&fm=search-autosuggest&iid=c0aae1ad-ec6f-4251-854d-0838b11cb4a6.CBKFYHZHGDSGQRH7.SEARCH&ppt=sp&ppn=sp&ssid=u387w7maps0000001659118929189&qH=ce00758054ad5d56,5784,37192,7,8.334627217
FELICECHIARA NATURAL 3D GLOW RADIANT LOOK SHIMMER HIGHLIGHTERS Highlighter (PEARL SILVER),2,2386,1475,10686,1967,19560,9157,2563,1717,Fashion,Beauty,felicechiara,734,10,https://www.flipkart.com/felicechiara-natural-3d-glow-radiant-look-shimmer-highlighters-highlighter/p/itm9a80eb5164f8d?pid=HGLGEBHQZTYUHEEZ&lid=LSTHGLGEBHQZTYUHEEZVAXLPC&marketplace=FLIPKART&q=beauty+products+for+girls&store=g9b&srno=s_1_29&otracker=search&fm=search-autosuggest&iid=3dadd3b6-f1c2-489f-95ab-68d0eb4b29fc.HGLGEBHQZTYUHEEZ.SEARCH&ppt=browse&ppn=browse&ssid=4md3fifmjk0000001659118974659&qH=ce00758054ad5d56,10821,32990,8,5.750351706
"LAYERR Pink Angel Each 135ml Body Spray - For Women (270 ml, Pack of 2)",3,9955,1400,8938,1141,18282,9536,8844,1089,Fashion,Beauty,LAYERR,83,10,https://www.flipkart.com/layerr-pink-angel-each-135ml-body-spray-women/p/itm53af8ace77315?pid=DEOGFYZ9QG6GR5K6&lid=LSTDEOGFYZ9QG6GR5K6VOHPEQ&marketplace=FLIPKART&q=beauty+products+for+girls&store=g9b%2F0yh&srno=s_1_7&otracker=search&fm=search-autosuggest&iid=b84dc920-5757-4858-97d3-66c2e4cb91a5.DEOGFYZ9QG6GR5K6.SEARCH&ppt=browse&ppn=browse&ssid=8193cv2hsg0000001659119037881&qH=ce00758054ad5d56,10119,29283,4,9.289740403
THE MAN COMPANY Black perfume Eau de Toilette - 50 ml (For Men),2,7489,3508,6438,1289,9578,9795,6239,1721,Fashion,Beauty,MAN  company,847,10,https://www.flipkart.com/man-company-black-perfume-eau-de-toilette-50-ml/p/itm362a7d107d090?pid=PERFTY36CEY3UQY2&lid=LSTPERFTY36CEY3UQY2AKUEGT&marketplace=FLIPKART&q=beauty+products+for+men&store=g9b%2F0yh&srno=s_1_1&otracker=search&fm=Search&iid=7c6bb214-e697-439c-8a31-459c218c4b76.PERFTY36CEY3UQY2.SEARCH&ppt=browse&ppn=browse&ssid=k8m9yq279c0000001659119124198&qH=76ec5d4399ab81b4,9876,20947,0,6.714384532
"Men Deserve Hair Styling Color Wax For Strong Hold And Volume For Highlights, Parties And Special Occasions (60 ML, Brighten Blue) Hair Wax (60 ml)",1,5832,3701,4687,825,1491,11167,8520,740,Fashion,Beauty,Men deserve,385,10,https://www.flipkart.com/men-deserve-hair-styling-color-wax-strong-hold-volume-highlights-parties-special-occasions-60-ml-brighten-blue/p/itmfc6deurpjzayq?pid=HSYFC63YRTKWZENK&lid=LSTHSYFC63YRTKWZENK3FUERM&marketplace=FLIPKART&q=beauty+products+for+men&store=g9b%2Flcf&srno=s_1_7&otracker=search&fm=Search&iid=91f771f7-803b-4d94-8193-d3a957218d8a.HSYFC63YRTKWZENK.SEARCH&ppt=browse&ppn=browse&ssid=q76ihfi5eo0000001659119200940&qH=76ec5d4399ab81b4,6637,35736,2,7.344189476
"Irem Pink Lips - Lip cream pink (Pack of: 1, 15 g)",1,839,2527,10556,1212,13440,6575,8147,611,Fashion,Beauty,Irem,774,10,https://www.flipkart.com/irem-pink-lips-lip-cream/p/itmc9206eb4e7ed8?pid=LCMFGH2EJBFS8WYZ&lid=LSTLCMFGH2EJBFS8WYZVRZQEL&marketplace=FLIPKART&q=beauty+products+for+men&store=g9b%2Fffi&srno=s_1_18&otracker=search&fm=Search&iid=0016afe1-266a-45ee-a6e0-88025640e2cc.LCMFGH2EJBFS8WYZ.SEARCH&ppt=browse&ppn=browse&ssid=vfd5ih26yo0000001659119361958&qH=76ec5d4399ab81b4,12717,26276,2,0.268249222
PARK DANIEL Natural Cucumber & Vitamin C Skin Toner Combo Pack Of 2 Bottles Of 100ml (200ml) Makeup Remover (200 ml),3,2333,2409,3567,1522,3927,3996,8776,1627,Fashion,Beauty,Park daniel,911,10,https://www.flipkart.com/park-daniel-natural-cucumber-vitamin-c-skin-toner-combo-pack-2-bottles-100ml-200ml-makeup-remover/p/itm0923faf0ddf1c?pid=MURG5CABV7NFZRHZ&lid=LSTMURG5CABV7NFZRHZACEJF2&marketplace=FLIPKART&q=beauty+products+for+men&store=g9b%2Fffi%2Fdzu%2Fdqh&srno=s_1_2&otracker=search&fm=Search&iid=5305476c-af2f-43a1-9e80-d045f2c5fc46.MURG5CABV7NFZRHZ.SEARCH&ppt=browse&ppn=browse&ssid=0b5m2ai28g0000001659119417943&qH=76ec5d4399ab81b4,14526,25494,6,7.249009352
Nuerma Science Advanced Intimated Lightening Serum and Underarm whitening Cream (2 Items in the set),2,255,3638,5480,334,7405,15972,9268,535,Fashion,Beauty,Nuema,581,10,https://www.flipkart.com/nuerma-science-advanced-intimated-lightening-serum-underarm-whitening-cream/p/itmb86f94c2bf90e?pid=CBKFKBZXDYFFVWHE&lid=LSTCBKFKBZXDYFFVWHETUXB3J&marketplace=FLIPKART&q=beauty+products+for+men&store=g9b%2Fiph&srno=s_1_1&otracker=search&fm=Search&iid=b73b4b3a-c8e6-49ad-85bb-cf77aea02d1a.CBKFKBZXDYFFVWHE.SEARCH&ppt=browse&ppn=browse&ssid=p5dbrpf4hc0000001659119511588&qH=76ec5d4399ab81b4,8608,40021,9,3.880621971
Runesy M Running Shoes For Men (White),4,7311,3811,7349,1026,14098,2880,9682,526,Fashion,Footwear,Adidas,735,10,https://www.flipkart.com/adidas-runesy-m-running-shoes-men/p/itm9f8d1254fa2ed?pid=SHOG4YNBUGX3CFRU&lid=LSTSHOG4YNBUGX3CFRUQKOFEG&marketplace=FLIPKART&q=mens+footwear&store=osp%2Fcil&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=4b6f057b-b2a6-4b90-94e1-012b736583f2.SHOG4YNBUGX3CFRU.SEARCH&ppt=sp&ppn=sp&ssid=0m2oodptds0000001659119738347&qH=5ceaced25e327814,11658,25516,3,3.148499773
"Mens Comfortable Trending And Stylish Slipper And Flipflop (Pack Of 2) Slippers (Black, Grey 5)",4,669,2787,8856,1559,15678,9729,2298,647,Fashion,Footwear,Vokline,844,10,https://www.flipkart.com/vokline-mens-comfortable-trending-stylish-slipper-flipflop-pack-2-slippers/p/itme2625054ea406?pid=SFFGBP83B9Q4JNZH&lid=LSTSFFGBP83B9Q4JNZHOKH4JC&marketplace=FLIPKART&q=mens+footwear&store=osp%2Fcil&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=4b6f057b-b2a6-4b90-94e1-012b736583f2.SFFGBP83B9Q4JNZH.SEARCH&ppt=sp&ppn=sp&qH=5ceaced25e327814,11963,21368,3,4.23212383
Lace Up For Men (Brown),1,7644,1046,11387,864,22236,3209,4609,1618,Fashion,Footwear,Rising Wolf,935,10,https://www.flipkart.com/rising-wolf-lace-up-men/p/itm6ff7b6e7debf0?pid=SHOFXG5PDQTR9WRD&lid=LSTSHOFXG5PDQTR9WRDQVR6LW&marketplace=FLIPKART&q=mens+footwear&store=osp%2Fcil%2Fssb&srno=s_1_12&otracker=search&fm=Search&iid=en_tQv%2Fdk42JLFJZtbusww99JEtq0cEfLsKSpZwBDQ4iAkZSlVnHSanw6NpZRUyE5Zeg4vRXnbxulfPwqklUJtNtA%3D%3D&ppt=browse&ppn=browse&ssid=v88n3q3zps0000001659119831362&qH=8dc5dcbd70cddd72,11419,17001,4,6.451280494
Women Beige Heels Sandal,1,3857,3194,1896,1130,10364,10971,1212,482,Fashion,Footwear,Mijas,726,10,https://www.flipkart.com/mijas-women-beige-heels/p/itm8cd19fec880f8?pid=SNDGGFZSTT7FGSVE&lid=LSTSNDGGFZSTT7FGSVE2Q8MLN&marketplace=FLIPKART&store=osp%2Fiko%2F6q1&srno=b_1_27&otracker=nmenu_sub_Women_0_Heels&fm=organic&iid=en_Ar0CVYfpCvzWN%2BuMa7ipa686W2Ki%2F50zpVxnifvmP4aCwpw8DoGTN03N%2BGHfdmGgDic%2BysYJfOsHcn8R7vXl2w%3D%3D&ppt=browse&ppn=browse,6941,27937,4,9.764400935
Flip Flops (Grey 9),3,179,1042,4785,741,20135,4162,1273,555,Fashion,Footwear,Layasa,425,10,https://www.flipkart.com/layasa-flip-flops/p/itm681dd93217e36?pid=SFFGD39S99DDDRUG&lid=LSTSFFGD39S99DDDRUGALUWC1&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_32&otracker=nmenu_sub_Men_0_Flip-%20Flops&fm=organic&iid=en_KqTtDu4tGYoe%2FplP7MU1F9PJ07eW1oSJ58bFImVD9gzlZkdiPSoOJPSUI%2FJv%2FLcEs9pA%2BIxuxM%2FG2o4gg%2F%2F0SA%3D%3D&ppt=browse&ppn=browse,2918,42808,7,6.215404456
(Crocband) Slides (Navy 9),3,6423,1688,8584,1117,8938,12648,3790,1967,Fashion,Footwear,CROCS,476,10,https://www.flipkart.com/crocs-crocband-slides/p/itm3e9356ee8a1f9?pid=SFFFEF7XKSFWCSZZ&lid=LSTSFFFEF7XKSFWCSZZKXJ0QI&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_7&otracker=nmenu_sub_Men_0_Flip-%20Flops&fm=organic&iid=c13d0f90-1958-4d58-a515-9e5d27b94096.SFFFEF7XKSFWCSZZ.SEARCH&ppt=browse&ppn=browse&ssid=s9w50ohwik9twni81659119802444,1832,14281,4,9.782743348
Stylish & Premium Quality Loafers For Men (Black),1,2176,3975,4179,932,13395,10039,8121,889,Fashion,Footwear,Fzzirok,484,10,https://www.flipkart.com/fzzirok-stylish-premium-quality-loafers-men/p/itm6736b7c4f7712?pid=SHOG4YK2ZAPF4BJT&lid=LSTSHOG4YK2ZAPF4BJTPKGNZW&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_8&otracker=nmenu_sub_Men_0_Loafers&fm=organic&iid=en_glTTMmEwhQycz%2FyTU8JbJddActpB%2BnXYNM52EAkNBaikmHpus9XUXpWdjRpM1fBr9xpCnuKIntZrmkS8Juajjw%3D%3D&ppt=browse&ppn=browse&ssid=pw8uh8iao7oq6sjk1659119768555,8131,24630,0,4.118030675
X-Ray Game Wmn s Valentine s Running Shoes For Women (White),2,9833,1260,9469,644,24311,17482,8130,1233,Fashion,Footwear,Puma,500,10,https://www.flipkart.com/puma-x-ray-game-wmn-s-valentine-running-shoes-women/p/itm06fafa988eec8?pid=SHOFZ2NUZ2RBY7PG&lid=LSTSHOFZ2NUZ2RBY7PGM1YE0N&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_21&otracker=nmenu_sub_Women_0_Footwear&fm=organic&iid=en_th7EQoLD8TwTA5Nz4MucCgdduI1TpX2NiIcxk2mbWNWFPUrwxR1Ht4U29bhxWeVPPcrlMuFV0IGEal2BlnDdTA%3D%3D&ppt=browse&ppn=browse,5337,44754,0,3.708515433
Hustle V2 Wns Running Shoes For Women (Grey),2,1544,428,9296,1526,13403,11447,9632,342,Fashion,Footwear,Puma,379,10,https://www.flipkart.com/puma-hustle-v2-wns-running-shoes-women/p/itmd73ea17f4a3cc?pid=SHOG5HFRVY5A62R8&lid=LSTSHOG5HFRVY5A62R8YWJU9J&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_11&otracker=nmenu_sub_Women_0_Footwear&fm=organic&iid=en_th7EQoLD8TwTA5Nz4MucCgdduI1TpX2NiIcxk2mbWNUZjKizs6jssS%2BJfWGFXf67bc2vL0lYANe%2FYeDfxh91IA%3D%3D&ppt=browse&ppn=browse&ssid=c5o84k6cp3p84xs01659119612990,7123,33198,7,1.728050084
Sneakers For Women (White),3,6636,1990,10264,2172,10492,16954,6014,990,Fashion,Footwear,Deals4you,636,10,"https://www.flipkart.com/womens-footwear/pr?sid=osp,iko&otracker=nmenu_sub_Women_0_Footwear",5405,16455,2,0.971713385
UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,1,5641,1246,7819,2258,1176,2160,9923,7991,electronics,appliance,LG,314,10,https://www.flipkart.com/lg-uq7500-108-cm-43-inch-ultra-hd-4k-led-smart-webos-tv-2022/p/itm39fd5782b27ed?pid=TVSGFGYS5TJRUJNV&lid=LSTTVSGFGYS5TJRUJNVLCTYNB&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_1&otracker=clp_banner_1_13.bannerX3.BANNER_tvs-and-appliances-new-clp-store_YRTD3D31NCLK&iid=83b5ba8e-b5e1-48c4-8e73-5e05e54895b1.TVSGFGYS5TJRUJNV.SEARCH&ssid=izqj6hfaeo0000001659116923206,10058,29619,5,2.98959508
253 L Frost Free Double Door 2 Star Convertible Refrigerator,2,1383,390,10796,1562,15710,4611,2004,7669,electronics,appliance,SAMSUNG,997,10,https://www.flipkart.com/samsung-253-l-frost-free-double-door-2-star-convertible-refrigerator/p/itme024bb687f9f1?pid=RFRGEG5VRWYTHGAZ&lid=LSTRFRGEG5VRWYTHGAZSHMX8X&marketplace=FLIPKART&store=j9e%2Fabm%2Fhzg&srno=b_1_1&otracker=clp_creative_card_1_14.creativeCard.CREATIVE_CARD_tvs-and-appliances-new-clp-store_TJPKD6K1WH4W&iid=3d10d9af-b743-4b71-ae21-3d55e98f7db1.RFRGEG5VRWYTHGAZ.SEARCH&ssid=nmge0ias340000001659116926319,13757,16029,4,4.293315939
KENT Ace 8 L RO + UV + UF + TDS Water Purifier,3,5436,1281,3873,2278,6438,16757,9001,13008,electronics,appliance,KENT,455,10,https://www.flipkart.com/kent-ace-8-l-ro-uv-uf-tds-water-purifier-mineral-rotm-technology-in-tank-disinfection/p/itm9bf11047176bd?pid=WAPFSJZAEKGQCNZF&otracker=clp_creative_card_3_14.creativeCard.CREATIVE_CARD_tvs-and-appliances-new-clp-store_YUXDTBA4WU9B&fm=neo%2Fmerchandising&iid=M_a2a67c71-1b23-491e-a7a6-c3bdf6adbefd_14.YUXDTBA4WU9B&ppt=clp&ppn=tvs-and-appliances-new-clp-store&ssid=r1ej9ourz40000001659116811132,8230,13272,6,5.501947248
Blue Star Convertible 4-in-1 Cooling,4,5247,3949,11926,859,9298,1213,605,9981,electronics,appliance,Blue Star,790,10,https://www.flipkart.com/blue-star-convertible-4-in-1-cooling-1-2-ton-3-split-inverter-ac-white/p/itma19af494398ed?pid=ACNGB663PWDHXZVM&lid=LSTACNGB663PWDHXZVMSSSMJG&marketplace=FLIPKART&store=j9e%2Fabm%2Fc54&srno=b_1_1&otracker=clp_banner_3_19.bannerX3.BANNER_tvs-and-appliances-new-clp-store_4HS9K7TCPLBZ&iid=cfc57053-0c34-4620-a1db-21c837a3dc33.ACNGB663PWDHXZVM.SEARCH&ssid=bh07r8wq800000001659116934572,14119,20101,7,0.174199249
Prestige Atlas 1.5 Electric Kettle,2,1306,3663,10260,811,16626,8460,172,7255,electronics,appliance,Prestige,802,10,https://www.flipkart.com/prestige-atlas-1-5-electric-kettle/p/itm69ca52dd68f51?pid=EKTFGQYWFK6DCJPZ&lid=LSTEKTFGQYWFK6DCJPZXHVFPP&marketplace=FLIPKART&store=j9e%2Fm38%2Fxrv&srno=b_1_1&otracker=clp_banner_1_23.bannerX3.BANNER_tvs-and-appliances-new-clp-store_38ZAV4RZ01II&fm=neo%2Fmerchandising&iid=61b20bec-df0d-47b5-b86b-960906612026.EKTFGQYWFK6DCJPZ.SEARCH&ppt=clp&ppn=tvs-and-appliances-new-clp-store&ssid=uo8xb7e8000000001659117161433,2560,14231,3,2.653489879
IFB 6 kg Steam Wash Fully Automatic washing machine,4,4353,502,11006,1652,16698,10869,6281,7421,electronics,appliance,IFB,399,10,https://www.flipkart.com/ifb-6-kg-steam-wash-fully-automatic-front-load-in-built-heater-white/p/itm3bf21ef8dc5e7?pid=WMNGDMYHAKGZHEPK&lid=LSTWMNGDMYHAKGZHEPKZXNDIY&otracker=clp_banner_2_8.bannerX3.BANNER_tvs-and-appliances-new-clp-store_VVUAFX4JQPA6&fm=neo%2Fmerchandising&iid=M_633d9492-a330-47fc-866e-509076f0c1f6_8.VVUAFX4JQPA6&ppt=hp&ppn=homepage,14120,18151,5,7.282921777
Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan,1,6025,631,7363,1270,13718,2991,2927,5076,electronics,appliance,Atomberg Renesa,171,10,https://www.flipkart.com/atomberg-renesa-1200-mm-bldc-motor-remote-3-blade-ceiling-fan/p/itm796cc539b2bb9?pid=FANGYWHHNTRPRSPX&lid=LSTFANGYWHHNTRPRSPXVDXMN9&marketplace=FLIPKART&store=j9e%2Fabm%2Flbz&srno=b_1_1&otracker=clp_creative_card_2_11.creativeCard.CREATIVE_CARD_tvs-and-appliances-new-clp-store_UU9DU003LU3B&fm=neo%2Fmerchandising&iid=639e918a-0a56-4ee6-8a76-986526c07505.FANGYWHHNTRPRSPX.SEARCH&ppt=browse&ppn=browse&ssid=sh6zvdrads0000001659117273539,7327,23829,2,8.826019244
Prestige PIC 20.0 1600 W Induction Cooktop,2,6516,435,11810,705,7769,10512,7293,13711,electronics,appliance,Prestige,186,10,https://www.flipkart.com/prestige-pic-20-0-1600-w-induction-cooktop/p/itmd959f18e2dcbe?pid=ICTFXYZHSYSEYJKB&lid=LSTICTFXYZHSYSEYJKBCXN4EK&marketplace=FLIPKART&store=j9e%2Fm38%2F575&srno=b_1_3&otracker=clp_banner_2_22.bannerX3.BANNER_tvs-and-appliances-new-clp-store_M9I58Q088KX3&fm=neo%2Fmerchandising&iid=6a290f2e-8dca-4f7d-85a7-de08248f6c9d.ICTFXYZHSYSEYJKB.SEARCH&ppt=browse&ppn=browse&ssid=03sdwjwma80000001659117318200,14599,17364,10,6.304946529
AGARO Regal Hand-held Vacuum Cleaner,4,1699,3148,5240,1189,24163,10793,7602,14280,electronics,appliance,AGARO,828,10,https://www.flipkart.com/agaro-regal-hand-held-vacuum-cleaner/p/itmb6ccbb64a1de1?pid=VCLFHG5XQ8W3VJKG&lid=LSTVCLFHG5XQ8W3VJKGYOFJRY&marketplace=FLIPKART&store=j9e%2Fabm%2Ful2&srno=b_1_3&otracker=clp_banner_1_28.bannerX3.BANNER_tvs-and-appliances-new-clp-store_YZZIHSH8O9Z2&fm=neo%2Fmerchandising&iid=51850e39-686e-4bf5-9df3-159d4b01d2db.VCLFHG5XQ8W3VJKG.SEARCH&ppt=clp&ppn=tvs-and-appliances-new-clp-store&ssid=0aiobfklgw0000001659117418867,8189,36615,4,5.876461224
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  ,4,1213,2916,4901,1579,14125,5529,2535,8686,electronics,appliance,LG,94,10,https://www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-smart-webos-tv/p/itm6207e6d122567?pid=TVSFTW4CSRW8PGDQ&lid=LSTTVSFTW4CSRW8PGDQSZQIO6&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_3&otracker=search&otracker1=search&fm=neo%2Fmerchandising&iid=84da666b-687b-486d-bea0-9864a298e878.TVSFTW4CSRW8PGDQ.SEARCH&ppt=browse&ppn=browse&ssid=qxzkuozyi80000001659117445349&qH=c9a1fdac6e082dd8,1731,28007,5,5.661842684
boAt Stone 350 10 W Bluetooth Speaker,3,9855,2259,7459,1590,17448,5585,6616,1506,electronics,Audio,boAt,204,10,https://www.flipkart.com/boat-stone-350-10-w-bluetooth-speaker/p/itmba477fc3ec7ae?pid=ACCFVWMHBGUNFG97&lid=LSTACCFVWMHBGUNFG97EZRDNU&marketplace=FLIPKART&store=0pm&srno=b_1_1&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Electronics~Audio~All_9JGNW7M0TUHD&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=en_rzr6rIRJgxVz19ihg6Oa7z0%2BIxnSeMRFeuRQwhu5qBHjGC33jmb7Y59B3hP2WtiBbXLih5CWI8Ix7EfLFjjXRg%3D%3D&ppt=browse&ppn=browse&ssid=8z8px62fb40000001659070849672,9321,28623,3,9.000078255
"OnePlus Bullets Wireless Z2 with Fast Charge,",3,9060,581,6741,364,15313,4242,6889,2560,electronics,Audio,OnePlus,515,10,https://www.flipkart.com/oneplus-bullets-wireless-z2-fast-charge-30-hrs-battery-life-earphones-mic-bluetooth-headset/p/itm1b9cd98911a2a?pid=ACCGC4GN5SQR7ZCZ&lid=LSTACCGC4GN5SQR7ZCZQKBRXO&marketplace=FLIPKART&store=0pm&srno=b_1_3&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Electronics~Audio~All_9JGNW7M0TUHD&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=01a0253d-0ccd-4de9-af3f-6c6e318392cb.ACCGC4GN5SQR7ZCZ.SEARCH&ppt=browse&ppn=browse&ssid=8z8px62fb40000001659070849672,2782,43409,4,5.234466899
Noise Buds VS102 Truly Wireless Bluetooth Headset,4,2060,1698,9929,2468,20910,1558,1868,1162,electronics,Audio,Noise,539,10,https://www.flipkart.com/noise-buds-vs102-truly-wireless-bluetooth-headset/p/itm6a32c17afbbe5?pid=ACCG4RBWG8TWZRY9&lid=LSTACCG4RBWG8TWZRY9ZNFUKG&marketplace=FLIPKART&store=0pm&srno=b_1_6&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Electronics~Audio~All_9JGNW7M0TUHD&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=01a0253d-0ccd-4de9-af3f-6c6e318392cb.ACCG4RBWG8TWZRY9.SEARCH&ppt=browse&ppn=browse&ssid=8z8px62fb40000001659070849672,2990,29696,0,7.357608036
boAt rockerz 255+ pro,1,9985,2750,563,1692,17005,1774,82,1407,electronics,Audio,boAt,700,10,https://www.flipkart.com/boat-rockerz-255-pro-asap-charge-upto-40-hours-playback-bluetooth-headset/p/itmc0a280218bd0d?pid=ACCFZ95MY8SGZQRT&lid=LSTACCFZ95MY8SGZQRTLXXUEP&marketplace=FLIPKART&store=0pm&srno=b_1_11&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Electronics~Audio~All_9JGNW7M0TUHD&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=01a0253d-0ccd-4de9-af3f-6c6e318392cb.ACCFZ95MY8SGZQRT.SEARCH&ppt=browse&ppn=browse,6230,38693,2,3.998283973
leaf ear bass bluetooth headset,3,4862,1311,7383,2474,9776,13192,7920,1386,electronics,Audio,leaf,629,10,https://www.flipkart.com/leaf-ear-bass-bluetooth-headset/p/itm467e65b956d02?pid=ACCFA6YJEXSFKTWZ&lid=LSTACCFA6YJEXSFKTWZVFEGYK&marketplace=FLIPKART&store=0pm&srno=b_1_32&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Electronics~Audio~All_9JGNW7M0TUHD&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=en_rzr6rIRJgxVz19ihg6Oa7z0%2BIxnSeMRFeuRQwhu5qBHYD%2FktYMwJtcN2AQFLstKImJTvIVqHSZVISa68k1i30Q%3D%3D&ppt=browse&ppn=browse,6306,39968,1,5.647129373
apple airpods,2,7563,345,10990,1805,17583,5824,3883,1667,electronics,Audio,apple,684,10,https://www.flipkart.com/apple-airpods-charging-case-bluetooth-headset-mic/p/itm8f1b2b0173ce4?pid=ACCFF2R85H8YG4WH&lid=LSTACCFF2R85H8YG4WHVYNGWK&marketplace=FLIPKART&store=0pm&srno=b_1_34&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Electronics~Audio~All_9JGNW7M0TUHD&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=01a0253d-0ccd-4de9-af3f-6c6e318392cb.ACCFF2R85H8YG4WH.SEARCH&ppt=browse&ppn=browse,4807,19588,6,1.145217556
